enthrallments	enthrall @@ment @@s
zonalizations	zonalization @@s
skearing	skear @@ing
semibarbarism	semi @@barbarism
pseudoradicular	pseudo @@radicular
aspen	asp @@en
hunchers	hunch @@er @@s
itchily	itch @@y @@ly
lauriids	lauriid @@s
microcrack	micro @@crack
bogeying	bogey @@ing
testiere	testiere
plowtail	plow @@tail
syphons	syphon @@s
deplorableness	deplore @@able @@ness
naphthalines	naphthaline @@s
forbiddest	for @@bid @@est
nonresponsible	non @@response @@ible
loopingly	loop @@ing @@ly
phenyldiethanolamines	phenyldiethanolamine @@s
Elsatian	Elsatian
valver	valver
triester	triest @@er
ngrams	ngram @@s
matronyms	matro @@onym @@s
immunoendocrine	immuno @@endocrine
xenoceltitids	xenoceltitid @@s
dispersalism	disperse @@al @@ism
cyclotherapy	cyclo @@therapy
acquittal	acquit @@al
tegmentums	tegmentum @@s
aqueductal	aqueduct @@al
productional	produce @@t @@ion @@al
lighthouse	light @@house
testimonialized	testimony @@al @@ize @@ed
chica	chica
txapelas	txapela @@s
de-Maoization	de @@Mao @@ization
nonspinal	non @@spine @@al
beselved	beselve @@ed
croconic	croconic
ductoscopy	ducto @@scopy
binbag	bin @@bag
antbirds	ant @@bird @@s
obfuscatorily	obfuscatory @@ly
microrespirometers	micro @@respire @@o @@meter @@s
non-obvious	non @@obvious
oppressingly	oppress @@ing @@ly
reclinable	recline @@able
fleetsides	fleet @@side @@s
jellabiyas	jellabiya @@s
blameshifts	blame @@shift @@s
unlist	un @@list
exculpates	exculpate @@s
burglarizers	burglar @@ize @@er @@s
pledgors	pledge @@or @@s
clout	clout
fanaticism	fanatic @@ism
jouks	jouk @@s
sandungas	sandunga @@s
instantise	instant @@ise
interconstruct	inter @@construct
superrotating	super @@rotate @@ing
Tomaszewski	Tomaszewski
unbluffed	un @@bluff @@ed
pathoadapted	patho @@adapt @@ed
syndepositional	syndepose @@ition @@al
mantrams	mantram @@s
henges	henge @@s
Garifunas	Garifuna @@s
workglove	work @@glove
datable	date @@able
subinfeudate	sub @@infeudate
syllabicness	syllabic @@ness
panpestivirus	pan @@pestivirus
bediapered	be @@diaper @@ed
haunched	haunch @@ed
outplacements	out @@placement @@s
objicients	objicient @@s
lenslike	lens @@like
dealcoholizes	de @@alcohol @@ize @@s
kalafungin	kalafungin
stoushes	stoush @@s
nonconductivity	non @@conduct @@ive @@ity
anatta	anatta
megaseism	mega @@seism
antiquitarians	antiquity @@arian @@s
unclawed	un @@claw @@ed
chipboards	chip @@board @@s
columbiferous	columb @@ferous
visuographic	visuo @@graphy @@ic
arenicolids	arenicolid @@s
whatsisname	whatsisname
cacophonous	caco @@phone @@ous
nonmetazoans	non @@metazoan @@s
teemed	teem @@ed
monoribonucleotide	mono @@ribo @@nucleo @@ide
autopipette	auto @@pip @@ette
Brexits	Brexit @@s
resupplementation	re @@supplement @@ation
forklike	fork @@like
symptomatologic	symptomatology @@ic
scantron	scantron
nakongs	nakong @@s
frighteneth	fright @@en @@eth
lysiosquillids	lysiosquillid @@s
beamspaces	beam @@space @@s
washitsu	washitsu
pilcher	pilch @@er
principiant	principiant
microturbulent	micro @@turbulent
hydrobromate	hydro @@bromine @@ate
tusklike	tusk @@like
angiostrongyloses	angiostrongylose @@s
weanels	weanel @@s
supersell	super @@sell
realkylating	re @@alkyl @@ate @@ing
cloistresses	cloister @@ess @@s
erythrocythemias	erythro @@cythemia @@s
Burmish	Burm @@ish
formicated	formicate @@ed
premiate	premiate
prosomatostatin	prosomato @@statin
engraver	engrave @@er
bedrocks	be @@drock @@s
staircase	stair @@case
saddlenose	saddle @@nose
trisegmentation	tri @@segment @@ation
overapproximate	over @@approximate
noncruciferous	non @@cruciferous
collagenolytic	colla @@geno @@lytic
vialful	vial @@ful
Brobdingnagians	Brobdingnagian @@s
nitpickish	nit @@pick @@ish
outreigned	out @@reign @@ed
siderography	sidero @@graphy
reproblematized	re @@problematize @@ed
Maverick	Maverick
forceps-like	forceps @@like
rereductions	re @@re @@duct @@ion @@s
reinstallation	re @@install @@ation
branles	branle @@s
sergettes	sergette @@s
yponomeutids	yponomeutid @@s
laybys	layby @@s
ultranerdy	ultra @@nerd @@y
fakeaways	fake @@a @@way @@s
unincentivized	un @@incentive @@ize @@ed
stercorite	stercorite
multipipette	multi @@pip @@ette
Snickometer	Snick @@o @@meter
jati	jati
multileg	multi @@leg
hooliganism	hooligan @@ism
multiexon	multi @@expresson
poesied	poesy @@ed
adiaphory	adiaphory
laboresses	labor @@ess @@s
aliquoting	aliquote @@ing
pneumothoraxes	pneumo @@thorax @@s
substages	sub @@stage @@s
childminders	child @@mind @@er @@s
inbread	in @@bread
acervate	acervate
New Englandy	New England @@y
frumentation	frument @@ation
harrowest	harrow @@est
microglial	micro @@glia @@al
countres	countre @@s
niobiferous	niobiferous
Lushunkou	Lushunkou
prankee	prank @@ee
matryoshka	matryoshka
insolvably	in @@solve @@able @@ly
monochromacy	mono @@chromacy
cytomas	cytoma @@s
invokes	invoke @@s
metallothionines	metallothionine @@s
underwind	under @@wind
multiglycosides	multi @@glycoside @@s
inferosuperior	infero @@superior
undercoupling	under @@couple @@ing
enrollments	enroll @@ment @@s
irrepresentableness	in @@re @@present @@able @@ness
hochelagaite	hochelagaite
archaicised	archaic @@ise @@ed
monosomics	mono @@some @@ics
lacunars	lacunar @@s
decoherence	de @@cohere @@ence
microdysgenesis	micro @@dys @@genesis
theocon	theocon
rechurning	re @@churn @@ing
fucivore	fucivore
antifoulants	anti @@foulant @@s
datacasters	datum @@aster @@s
Guadeloupean	Guadeloupe @@an
downtime	down @@time
unsighting	un @@sight @@ing
antechambers	ante @@chamber @@s
clerk	clerk
shepherdlessness	shepherd @@less @@ness
deiodinase	de @@iodine @@ase
handstand	hand @@stand
darkfics	dark @@fic @@s
riverports	riverport @@s
forethoughts	fore @@thought @@s
gomos	gomo @@s
Kampuchea	Kampuchea
Onstad	Onstad
plunderable	plunder @@able
pragmaticalness	pragmatical @@ness
triflic	trifle @@ic
buformin	buformin
provends	provend @@s
ff-hole	ff @@hole
loverboy	love @@er @@boy
radiocarbides	radio @@carbide @@s
olitiau	olitiau
hog-Morse	hog @@Morse
proterochampsians	proterochampsian @@s
octoxides	octo @@oxide @@s
albertypes	albertype @@s
adenohypophysis	adeno @@hypo @@physis
demuslimizes	de @@muslimize @@s
Molotschna	Molotschna
supertypical	super @@type @@ical
happenstances	happenstance @@s
heavenlymindedness	heavenlyminded @@ness
crossest	cross @@est
pandura	pandura
bullyproofed	bully @@proof @@ed
endoproteolyses	endo @@proteo @@lysis @@s
malcompensation	mal @@compensate @@ion
transtendinous	trans @@tendinous
endocrinological	endocrine @@ology @@ical
interrelates	inter @@relate @@s
Heraclitans	Heraclitan @@s
Hilma	Hilma
unrightful	un @@right @@ful
flavordynamics	flavor @@dynamic @@ics
surrealism	surreal @@ism
chlorothionite	chloro @@thionite
idioted	idiot @@ed
nanori	nanori
Sollars	Sollar @@s
fleeches	fleech @@s
ophthalmologically	ophthalmology @@ical @@ly
mellowers	mellow @@er @@s
brewology	brew @@ology
siberite	siberite
lycanthropy	lycanthropy
unchivalrous	un @@chivalry @@ous
labdane	labdane
reactualizing	re @@act @@ual @@ize @@ing
urnas	urna @@s
mouldening	mould @@en @@ing
first-teamer	first @@team @@er
deceived	deceive @@ed
hypnology	hypno @@logy
micromicrofarads	micro @@microfarad @@s
cyesis	cyesis
photocolposcopies	photo @@colpo @@scopy @@s
nonprogrammer	non @@program @@er
devan	devan
stigmatizing	stigma @@ize @@ing
unpegging	un @@peg @@ing
fungivorous	fungivorous
Carverian	Carver @@ian
mercaptals	mercaptal @@s
prevocationally	pre @@vocate @@ion @@al @@ly
unpiteously	un @@pity @@ous @@ly
funked	funk @@ed
bugleweed	bugle @@weed
rapee	rapee
humphed	humph @@ed
ecotopian	eco @@topia @@an
ferretlike	ferret @@like
uncommercialized	un @@commerce @@ial @@ize @@ed
arthrodeses	arthrodesis @@s
C-spot	C @@spot
jejunities	jejunity @@s
chrysotherapies	chryso @@therapy @@s
semicolon	semi @@colon
semiword	semi @@word
planeswalker	plane @@swalk @@er
exceptionless	except @@ion @@less
varnishings	varnishing @@s
gearksutite	gearksutite
adenylyltransferases	adenylyl @@transfer @@ase @@s
virtuated	virtuate @@ed
chlorothiophene	chloro @@thio @@phene
lumbosacral	lumbo @@sacrum @@al
scapulets	scapulet @@s
trichotomizations	trichotomization @@s
Leninian	Lenin @@ian
moreish	more @@ish
grandsire	grand @@sire
logorrhea	logo @@rrhea
dispatchee	dispatch @@ee
bepurpled	be @@purple @@ed
fernland	fern @@land
programmers	program @@er @@s
lethargizes	lethargize @@s
immunodetects	immuno @@detect @@s
clusterfuls	cluster @@ful @@s
abated	abate @@ed
hooly	hool @@y
injudicable	injudicable
autoregeneration	auto @@re @@generate @@ion
threshings	threshing @@s
yieldingly	yield @@ing @@ly
pyralid	pyralid
paradoxist	paradox @@ist
reflourishing	re @@flourish @@ing
Crohnies	Crohny @@s
bimolecularity	bi @@moleculus @@ar @@ity
unbanking	un @@bank @@ing
redbed	red @@bed
paraprotein	para @@protein
chemoimmunology	chemo @@immune @@ology
malfeatures	malfeature @@s
postmagmatic	post @@magmatic
ploying	ploy @@ing
counterfesance	counter @@fese @@ance
mammutids	mammutid @@s
seedless	see @@d @@less
teratosis	terato @@osis
vasectomising	vas @@ectomy @@ise @@ing
cowbells	cow @@bell @@s
Rasputin	Rasputin
hectorings	hectoring @@s
stower	stow @@er
appetiteless	appetite @@less
municipalisms	municipal @@ism @@s
ductography	ducto @@graphy
carapo	carapo
Shimahara	Shimahara
proclive	proclive
overpunches	over @@punch @@s
semimembranous	semi @@membrane @@ous
aneruptive	anerupt @@ive
misbehaved	misbe @@have @@ed
thowts	thowt @@s
forecolours	fore @@colour @@s
ergoreflexes	ergo @@reflex @@s
doorcases	door @@case @@s
Hispanicizations	Hispanic @@ization @@s
adenofibroses	adeno @@fibre @@ose @@s
infommercials	infommerce @@ial @@s
reconstructor	re @@construct @@or
soundbars	sound @@bar @@s
cyberfreaks	cyber @@freak @@s
frothy	froth @@y
lyonia	lyonia
wakers	wake @@er @@s
slaughterhall	slay @@ter @@hyll
aperturate	aperturate
dysmodulations	dysmodulation @@s
forharden	for @@hard @@en
prohairetic	pro @@hairetic
necklaced	necklace @@ed
coevaporated	co @@evaporate @@ed
cordierites	cordierite @@s
tricarboxamide	tri @@carboxamide
systemwise	system @@wise
antineuroinflammatory	anti @@neuro @@inflammatory
singback	sing @@back
futurologists	future @@ology @@ist @@s
aliteracy	a @@literate @@cy
empressing	empress @@ing
regrettingly	regret @@ing @@ly
enchains	en @@chain @@s
Quailgate	quail @@gate
hydroxypropylmethylcelluloses	hydroxypropylmethylcelucelus
interconciliary	inter @@concilium @@ary
unhoof	un @@hoof
homosubtypic	homo @@sub @@type @@ic
focalizes	focus @@al @@ize @@s
semicentennial	semi @@cent @@ennial
impaireth	impair @@eth
Islamofascism	Islamo @@fascism
Ekadanta	Ekadanta
cupular	cupular
unselfconsciously	un @@self @@conscious @@ly
unhistoried	un @@history @@ed
sinuosity	sinuous @@ity
captaining	captain @@ing
ballbusted	ball @@bust @@ed
novemvirs	novemvir @@s
berzelium	berzelium
menophobia	meno @@phobia
pneumocystosis	pneumo @@cyst @@osis
paleobiology	paleo @@biology
Eunice	Eunice
disgorging	dis @@gorge @@ing
shadufs	shaduf @@s
overmastering	over @@mast @@er @@ing
neomammal	neo @@mamma @@al
enthusiasts	enthusiast @@s
hyperconvex	hyper @@convex
Dionne	Dionne
supramaxillaries	supra @@maxillary @@s
superenhancer	super @@enhance @@er
iminopeptides	imino @@peptide @@s
mediation	mediate @@ion
millocracies	mill @@o @@cracy @@s
tapiroid	tapire @@oid
clambake	clam @@bake
nobleman	noble @@man
biclusters	bi @@cluster @@s
beggar	beg @@ar
intracytoplasmically	intra @@cyto @@plasm @@ic @@ally
unembarrassedness	un @@embarrass @@ed @@ness
haematoma	haemato @@oma
ungowns	un @@gown @@s
questioner	question @@er
bulbectomies	bulb @@ectomy @@s
fructosamine	fructosamine
paediatry	paediatry
skirtless	skirt @@less
gravekeepers	grave @@keep @@er @@s
transligamentous	trans @@ligament @@ous
trepanation	trepanation
batsicle	bat @@sicle
poststructuralisms	post @@structure @@al @@ism @@s
chromatoscanners	chromatoscanner @@s
framesmith	frame @@smith
feminities	feminity @@s
amygdalotomy	amygdalo @@tomy
quidsworth	quids @@worth
subclimates	sub @@climate @@s
enculturating	en @@culture @@ate @@ing
melodic	melody @@ic
periphrasis	periphrasis
naturalising	nature @@al @@ise @@ing
autolysosomes	auto @@lyso @@some @@s
unenterable	un @@enter @@able
actinides	actinide @@s
improvably	improve @@able @@ly
softening	soft @@en @@ing
technocracies	techno @@cracy @@s
quadriforces	quadriforce @@s
oleone	oleone
thrombspondins	thrombspondin @@s
orbities	orb @@ity @@s
efforms	efform @@s
garbanzos	garbanzo @@s
dispraisable	dis @@praise @@able
enterohepatically	entero @@hepatic @@ally
txted	txt @@ed
spheropolygons	sphero @@polygon @@s
flybridge	fly @@bridge
arty	art @@y
foliferous	foliferous
clancularly	clancle @@ar @@ly
cuntfucks	cunt @@fuck @@s
apicoectomized	apico @@ectomy @@ize @@ed
septuplex	septuplex
tetter	tetter
begroaned	be @@groan @@ed
nageire	nageire
rostrodorsomedial	rostro @@dorso @@media @@al
flaplike	flap @@like
oatmealish	oat @@meal @@ish
unfries	un @@fry @@s
dogsicles	dog @@sicle @@s
thunderstricken	thunder @@stricken
sharees	share @@s
pornocracies	porno @@cracy @@s
sporabolas	sporabola @@s
takfirists	takfir @@ist @@s
pseudobases	pseudo @@base @@s
interhemisphere	inter @@hemi @@sphere
microwriters	micro @@write @@er @@s
soapstars	soap @@star @@s
boeries	boerie @@s
roomfuls	room @@ful @@s
varisome	vary @@some
tridecagons	trideca @@gon @@s
polyphonies	poly @@phony @@s
Shtundists	Shtund @@ist @@s
refreshment	re @@fresh @@ment
migmatised	migmatise @@ed
rowhome	row @@home
miskenner	mis @@ken @@er
deunifications	de @@unify @@ification @@s
Numunuu	Numunuu
soberised	soberise @@ed
larcener	larcene @@er
scatteredness	scatter @@ed @@ness
ubasute	ubasute
phallicisms	phallus @@ic @@ism @@s
lurkerships	lurker @@ship @@s
coppersmithies	cop @@er @@smithy @@s
verbenas	verbena @@s
disassent	dis @@assent
salixes	salix @@s
procolipase	pro @@co @@lipase
rickettsioses	rickettsiosis @@s
whitestreamed	white @@stream @@ed
extraneuronal	extra @@neuron @@al
misinvests	mis @@invest @@s
Englishification	Angle @@ish @@ification
banalises	banalise @@s
cycloablation	cyclo @@ablate @@ion
fearest	fear @@est
hemiplegia	hemi @@plegia
Quasimodo	Quasimodo
oppressest	oppress @@est
fatfucks	fat @@fuck @@s
biternary	bi @@tern @@ary
Tennessees	Tennessee @@s
cowdom	cow @@dom
sputed	spute @@ed
photomontage	photo @@montage
pickproof	pick @@proof
rennety	rennety
Khotanese	Khotan @@ese
enhydritic	enhydro @@ite @@ic
pamphletry	pamphletry
microelasticity	micro @@elastic @@ity
procedurality	procedure @@al @@ity
fourche	fourche
myostatin	myo @@statin
etymologizable	etymology @@ize @@able
endometabolite	endometabolite
tephrochronologically	tephro @@chrono @@logy @@ical @@ly
literarily	literary @@ly
subsquamosal	sub @@squamosal
tectotype	tecto @@type
jizya	jizya
allogenetic	allo @@gene @@ic
morphemically	morpheme @@ic @@ally
postfusional	post @@fuse @@ion @@al
carwashero	car @@washero
biosorptions	bio @@sorption @@s
beminding	be @@mind @@ing
ferrisicklerite	ferrisicklerite
pesages	pesage @@s
nonautomatically	non @@automat @@ic @@ally
abun	abun
ported	port @@ed
copiable	copy @@able
vetturas	vettura @@s
unrefractory	un @@refractory
forward-lookingness	for @@ward @@look @@ing @@ness
repat	re @@pat
annulosans	annulosan @@s
egoless	ego @@less
precambered	pre @@camber @@ed
sudburyite	sudburyite
overpets	over @@pet @@s
decanometres	decano @@metre @@s
old-timey	old @@time @@y
convergement	converge @@ment
photoemitters	photo @@emit @@er @@s
dehydrodimerization	de @@hydro @@di @@mer @@ization
elephantopin	elephantopin
lamellarly	lamellar @@ly
breaders	bread @@er @@s
transmedicalist	trans @@medical @@ist
dextrograms	dextro @@gram @@s
tremolandos	tremolando @@s
mediotergites	medio @@tergite @@s
evanitions	evanition @@s
alkalifying	alkali @@fy @@ing
memorate	memorate
diabetogenicity	diabeto @@genic @@ity
neurochemical	neuro @@chemic @@al
expositing	expose @@ite @@ing
heparinising	hepar @@in @@ise @@ing
forestation	forest @@ation
seroconcordance	sero @@concord @@ance
diaphonemic	dia @@phoneme @@ic
hemofiltration	hemo @@filtrate @@ion
hadromerids	hadromerid @@s
inarizushi	inarizushi
prostheticist	prosthetic @@ist
cesarian	cesarian
unlatches	un @@latch @@s
ABAKO	ABAKO
gasconading	gasconade @@ing
browseable	browse @@able
Adriannah	Adriannah
labrums	labrum @@s
waled	wale @@ed
spartanness	spart @@an @@ness
skittered	skitter @@ed
anthropogenized	anthropo @@genize @@ed
taff	taff
sigfile	sig @@file
reaccredit	re @@ac @@credit
depropionylating	de @@propionylate @@ing
dirtiest	dirt @@y @@est
delocalise	de @@local @@ise
biodecontamination	bio @@de @@contaminate @@ion
autoscroller	auto @@scroll @@er
chronobiology	chrono @@biology
eggletonite	eggletonite
stephanoberycids	stephanoberycid @@s
Fingoland	Fingo @@land
moorhen	moor @@hen
champaka	champaka
refreins	re @@frein @@s
Jötunheimr	Jötunheimr
unacademical	un @@academy @@ical
dialogers	dialoger @@s
alarmest	alarm @@est
meringues	meringue @@s
impale	impale
preoperationally	pre @@opera @@ate @@ion @@al @@ly
kinetocardiographs	kineto @@cardio @@graph @@s
petune	petune
pherograms	pherogram @@s
hypersaline	hyper @@saline
Oquendo	Oquendo
Peruvianizes	Peruvia @@an @@ize @@s
metacharities	meta @@charity @@s
hexoxide	hex @@oxide
catechizable	catech @@ize @@able
overdeliberation	over @@deliberate @@ion
skeuomorph	skeuo @@morph
play-off	play @@off
mangier	mangy @@er
kleenexes	kleenex @@s
fractionally	fraction @@al @@ly
immunolocalising	immunolocalise @@ing
intravenously	intra @@venous @@ly
beefcake	beef @@cake
amphidelphic	amphi @@delphic
priding	pride @@ing
opalized	opal @@ize @@ed
ruku'	ruku'
epulides	epulide @@s
photoswitches	photo @@switch @@s
critiqued	critiqued
Kanakangi	Kanakangi
knawel	knawel
stripping	strip @@ing
proconcave	proconcave
glucoamylases	gluco @@amylo @@ase @@s
cerebations	cerebation @@s
undignify	un @@dignity @@fy
overstaining	over @@stain @@ing
courtyard	court @@yard
fruitfulnesses	fruit @@ful @@ness @@s
bindrunes	bindrune @@s
Scripturian	Scripture @@ian
chanties	chanty @@s
aminophenanthrene	amino @@phenanthrene
unburstable	un @@burst @@able
arylhydroxylamines	arylhydroxylamine @@s
youthenize	young @@th @@en @@ize
nonpathogenicity	non @@patho @@gen @@ic @@ity
botulinal	botuline @@al
prompt	prompt
cerebellopontine	cerebellopontine
enshrined	en @@shrine @@ed
misworshipping	misworth @@ship @@ing
subpleurodont	sub @@leurodont
scrivenings	scrivening @@s
exolevers	exo @@lief @@er @@s
prototropy	proto @@tropy
horsefaces	horse @@face @@s
khellin	khellin
Gagauzians	Gagauzian @@s
peribacteroid	peri @@bacterol @@oid
saccharomycoses	saccharomycosis @@s
dorsoventralized	dorsoventralize @@ed
kasrahs	kasrah @@s
unlaughed	un @@laugh @@ed
maiolicaware	maiolica @@ware
wraprascals	wrap @@rascal @@s
windowed	window @@ed
swallowwort	swallow @@wort
seismography	seismo @@graphy
deglutitory	deglutitory
ministrants	ministrant @@s
aeriating	aeriate @@ing
hypothecator	hypo @@thecate @@or
urite	urite
z-average	z @@aver @@age
zygotenes	zygotene @@s
uncomprehendingness	un @@comprehend @@ing @@ness
underinvestor	under @@invest @@or
grumpier	grump @@y @@er
burdons	burdon @@s
curtailest	curtail @@est
bulletproofed	bullet @@proof @@ed
phasonic	phasonic
fuggy	fug @@y
presmoothers	pre @@smooth @@er @@s
fluorofibres	fluoro @@fibre @@s
Retr0brights	retrubright @@s
philozoic	philo @@zoic
coincidentalism	co @@incident @@al @@ism
reshrink	re @@shrink
teenagerhoods	teenager @@hood @@s
hwair	hwair
quadrilateralness	quadri @@lateral @@ness
Kaluga	Kaluga
Swisser	Swisser
coachability	coach @@ability
electrometry	electro @@metry
sculler	scull @@er
Rigvedic	Rigved @@ic
nontrilobites	non @@trilobe @@ite @@s
restorers	restore @@er @@s
karyomorph	karyo @@morph
finstagrams	finstagram @@s
'Arry	'Arry
nailpolishes	nailpolish @@s
syrphus	syrphus
Southwellian	Southwell @@ian
