enthrallments	enthrallment @@s
dephasings	dephasing @@s
marbleness	marble @@ness
pee-er	pee @@er
cytotechnologists	cytotechno @@logy @@ist @@s
breakneck	break @@neck
maenor	maenor
wanderword	wander @@word
departest	depart @@est
nontrinitarians	non @@trinit @@ary @@ian @@s
misseldine	mis @@seldine
preconceptionally	pre @@concept @@ion @@al @@ly
zoppo	zoppo
untyrannic	un @@tyrannic
pyrees	pyree @@s
Suttle	Suttle
mineralizing	mineral @@ize @@ing
picosiemens	pico @@siemens
progs	prog @@s
turbogenerator	turbo @@generate @@or
heraldest	herald @@est
humphing	humph @@ing
culpeos	culpeo @@s
propeller	propel @@er
unpotted	un @@pot @@ed
slumberously	sloom @@er @@ous @@ly
liquidambers	liquidamber @@s
overlashed	over @@lash @@ed
shlicking	shlick @@ing
Alexandroupoli	Alexandroupoli
immunodeficiency	immuno @@deficit @@ency
cedarbird	cedar @@bird
landfowl	land @@fowl
demonization	demon @@ization
cybercrud	cyber @@crud
Urchi	Urchi
dismayers	dismay @@er @@s
bucculatricids	bucculatricid @@s
beaconed	beacon @@ed
anthramycin	anthramycin
behoovefulness	behoof @@ful @@ness
nonpassivity	non @@passive @@ity
shamblers	shamble @@er @@s
departmentation	department @@ation
denaturings	denaturing @@s
ophistotics	ophistotic @@s
second-hander	second @@hander
antithrombogenicity	anti @@thrombo @@genic @@ity
Å“conomizing	Å“conomize @@ing
rakefuls	rake @@ful @@s
nobbliest	nobble @@y @@est
allochezia	allochezia
blackish	black @@ish
preominates	pre @@ominate @@s
immersed	immerse @@ed
homopentamer	homo @@penta @@mer
mannans	mannan @@s
synthetised	synthetise @@ed
transmedicalists	trans @@medical @@ist @@s
aducanumab	aducanumab
encharges	en @@charge @@s
eigenheads	eigen @@head @@s
Thelemically	Thelem @@ic @@ally
wyakins	wyakin @@s
sibilant	sibilant
teletutoring	tele @@tutor @@ing
dialups	dialup @@s
recreolizing	re @@creole @@ize @@ing
nounifying	noun @@ify @@ing
linolenates	linolenate @@s
airdashes	air @@dash @@s
Bacchanalia	Bacchanalia
cognising	cognise @@ing
postdefection	post @@defect @@ion
emblematicize	emblem @@atic @@ize
upsoars	up @@soar @@s
subfunctionalised	sub @@functionalise @@ed
semiparadoxical	semi @@paradox @@ical
reseparating	re @@separate @@ing
whipstall	whip @@stall
pulmometry	pulmo @@metry
highgates	high @@gate @@s
unpivoted	un @@pivot @@ed
plugins	plugin @@s
morphotaxonomy	morpho @@taxo @@nomy
polybrominated	poly @@brominate @@ed
intrahepatocyte	intra @@hepato @@cyte
structuring	structure @@ing
bedsites	bed @@site @@s
homorepeat	homo @@repeat
tribble	tribble
overload	over @@load
baramins	baramin @@s
vineyard	vine @@yard
Kaizhou	Kaizhou
spandites	spandite @@s
Rodrigues	Rodrigue @@s
desiccation	desiccate @@ion
administerer	administer @@er
nonlive	non @@live
stadiumlike	stadium @@like
decentralising	de @@centre @@al @@ise @@ing
corumbellids	corumbellid @@s
buccinoid	buccin @@oid
swording	sword @@ing
flocculating	flocculate @@ing
trackerphone	track @@er @@phone
kage	kage
acronymed	acro @@onym @@ed
hemilaryngectomies	hemi @@larynx @@ectomy @@s
rollaway	rollaway
knelling	knell @@ing
antiartillery	anti @@artillery
essayeth	essay @@eth
unpeppery	un @@peppery
overlogical	over @@logy @@ical
marquisesses	marquise @@ess @@s
astasia	astasia
overrelaxation	over @@relax @@ation
lablabs	lablab @@s
corculum	corculum
multichotomous	multi @@chotomy @@ous
paraphalangeal	para @@phalangeal
Parkesine	Parkes @@ine
ruble	ruble
even-christian	eve @@n @@christ @@ian
guitared	guitar @@ed
unbespattered	un @@bespatter @@ed
helotisms	helotism @@s
decomplexification	de @@complex @@ify @@ification
noninterviews	non @@interview @@s
inexists	in @@exist @@s
recarpeting	re @@carpete @@ing
tamponaded	tamponade @@ed
souq	souq
redecided	re @@decide @@ed
megaselling	mega @@sell @@ing
vizard	vizard
chemoguidance	chemo @@guide @@ance
diphosphoinositides	di @@phospho @@inosite @@ide @@s
Nilo-Saharan	Nilo @@Sahara @@an
unbunches	un @@bunch @@s
saught	saught
cyanoacetate	cyano @@acetate
plutogenic	pluto @@genic
Radaune	Radaune
azathioprine	aza @@thio @@prine
boobooks	boobook @@s
unsluiced	un @@sluice @@ed
leigers	leiger @@s
safetified	safe @@ty @@ify @@ed
endlings	end @@ling @@s
arango	arango
cryonically	cryo @@ic @@ally
TCA	TCA
harpists	harp @@ist @@s
intercorrelating	inter @@correlate @@ing
Lincolnton	Lincolnton
sandhiller	sand @@hill @@er
dustlessness	dust @@less @@ness
intramural	intra @@mural
metakahlerite	metakahlerite
barophobic	baro @@phobic
desovietized	de @@Soviet @@ize @@ed
Andreef	Andreef
matrimoieties	matri @@moiety @@s
overdubbers	over @@dub @@er @@s
scrieved	scrieve @@ed
Chaturthi	Chaturthi
extraperceptual	extra @@percept @@al
overarticulated	over @@articulate @@ed
revisionist	re @@vision @@ist
shrammed	shram @@ed
dename	de @@name
unassimilating	un @@assimilate @@ing
waltzy	waltz @@y
musculosity	musculous @@ity
Raghda	Raghda
oneys	oney @@s
comitatuses	comitatus @@s
strewable	strew @@able
aminopropanol	amino @@prop @@anol
paleopolyploidy	paleo @@poly @@ploid @@y
biscotins	biscotin @@s
hodgepodged	hotch @@podge @@ed
riskish	risk @@ish
verticulating	verticulate @@ing
protectorships	protect @@or @@ship @@s
lager-beer	lage @@er @@ber
phytogeographic	phyto @@geography @@ic
Muschelkalk	Muschelkalk
extracutaneous	extra @@cutaneous
reinstallations	re @@install @@ation @@s
viscoelastometry	visco @@elastic @@metry
remetaphorizing	re @@metaphor @@ize @@ing
tepor	tepor
spondylodesis	spondylo @@desis
zealotisms	zealotism @@s
nonquadrilateral	non @@quadrilateral
pathotypes	patho @@type @@s
polycells	poly @@cell @@s
oolemma	oolemma
defunkified	de @@funk @@ify @@ed
agnopeptides	agno @@peptide @@s
playstead	play @@stead
Dari	Dari
BALs	BAL @@s
octocoral	octo @@coral
pouldrons	pouldron @@s
devast	devast
octacube	octa @@cube
Castellet	Castellet
abductees	abduct @@ee @@s
galeopithecids	galeopithecid @@s
cloysters	cloy @@ster @@s
estrepement	estrepement
betailed	betail @@ed
adjured	adjure @@ed
besetters	be @@set @@er @@s
neoglucoverodoxin	neo @@gluco @@verodox @@in
Silkwood	Silkwood
loculicidal	locule @@cide @@al
nontonic	non @@tone @@ic
kickup	kick @@up
starlikeness	star @@like @@ness
nonjuveniles	non @@juvenile @@s
semestered	semester @@ed
nonunderstood	non @@under @@stood
splanchnocranium	splanchno @@cranium
odorimetry	odor @@metry
maladroits	mal @@adroit @@s
effectuate	effectuate
gonorrhea	gonorrhea
datahubs	datumub @@s
sunblocks	sun @@block @@s
overlimes	over @@lime @@s
pharmacokinetic	pharmaco @@kinetic
rotors	rotor @@s
graminivorous	graminivore @@ous
adhort	adhort
sickbed	sick @@bed
kigilyakh	kigilyakh
deauthorizations	de @@authorize @@ation @@s
propugns	propugn @@s
restauranty	restauranty
dismarried	dis @@marry @@ed
broach	broach
senachies	senach @@ie @@s
optimisms	optimism @@s
cadambine	cadambine
Tswanadom	Tswana @@dom
admissibly	admissible @@ly
monomark	mono @@mark
charioting	chariot @@ing
dickbag	dick @@bag
meganiches	mega @@niche @@s
gowks	gowk @@s
polyoxamic	poly @@oxamic
vidnumbers	vidnumb @@er @@s
cæremonies	cæremony @@s
furanosyl	furfural @@yl
scarcened	scarce @@en @@ed
rockfaces	rock @@face @@s
overmethylation	over @@methyl @@ation
foomed	foom @@ed
radonproof	radius @@proof
reedbeds	reed @@bed @@s
analgesize	an @@algesia @@ize
evibrates	evibrate @@s
pyrimethamine	pyrimethamine
outbesting	out @@best @@ing
jarp	jarp
sequaciously	sequacious @@ly
windstorms	wind @@storm @@s
micacious	micacious
rectectomies	recto @@ectomy @@s
unbaleful	un @@bale @@ful
xenoplastically	xeno @@plastic @@ally
devotee	devote @@ee
Jayasri	Jayasri
coatstand	coat @@stand
peristriate	peristriate
kangalangs	kangalang @@s
necrotizing	necrotic @@ize @@ing
preterlapsed	preterlapse @@ed
unseeingly	un @@see @@ing @@ly
glasswork	glass @@work
revisitors	re @@visit @@or @@s
photooxidase	photo @@oxide @@ase
niggerball	nigger @@ball
yerding	yerd @@ing
manaclelike	manacle @@like
thermantidotes	thermantidote @@s
bagads	bagad @@s
acquists	acquist @@s
tenderhearted	tender @@heart @@ed
quasiproton	quasi @@proton
pericardially	peri @@cardial @@ly
microintervention	micro @@intervene @@tion
electrokinetics	electro @@kinetic @@s
jovialize	Jove @@ial @@ize
nonsoftware	non @@soft @@ware
microplexes	micro @@plex @@s
antinaturalists	anti @@nature @@al @@ist @@s
utzes	utz @@s
foquism	foquism
floodproofing	flood @@proof @@ing
aftercontraction	after @@contract @@ion
Hatsuko	Hatsuko
paulownia	paulownia
cortissimo	cortissimo
lenifying	lenify @@ing
megaplans	mega @@plan @@s
cachacas	cachaca @@s
impoundable	in @@pound @@able
colossal	co @@lossal
unstoichiometric	un @@stoichiometry @@ic
nanoscrolls	nano @@scroll @@s
unspied	un @@spy @@ed
malign	malign
overawer	over @@awer
curculionids	curculionid @@s
rise	rise
uglinesses	ug @@ly @@ness @@s
bathophenanthroline	batho @@phenanthroline
CHAdeMO	CHAdeMO
hippophagi	hippo @@phagi
heliocentrically	helio @@centric @@ally
rheotomes	rheo @@tome @@s
charro	charro
scoopless	scoop @@less
mithered	mither @@ed
recaulks	recaulk @@s
counterpunctures	counter @@puncture @@s
mercurializing	mercury @@al @@ize @@ing
nasalizes	nasal @@ize @@s
blaked	blake @@ed
exquisitely	exquisite @@ly
telemarked	tele @@mark @@ed
godetias	godetia @@s
slinks	slink @@s
myoelectrical	myo @@electric @@al
shitscapes	shit @@scape @@s
bienzymatic	bi @@enzyme @@atic
taikonaut	taiko @@naut
genitivals	genitive @@al @@s
ketopantoic	keto @@pantoic
backcourtman	back @@court @@man
Brayson	Brayson
biophobic	bio @@phobic
forcovers	for @@cover @@s
tarawihs	tarawih @@s
talars	talar @@s
forbearing	for @@bear @@ing
crosscontaminating	cross @@contaminate @@ing
babysitting	babe @@y @@sit @@ing
skiddings	skidding @@s
snyes	snye @@s
podzolizing	podzol @@ize @@ing
reslizumab	 @@ @@li @@zumab
cerebellectomizes	cerebellum @@ectomy @@ize @@s
underdue	under @@due
Tolowas	Tolowa @@s
cookbook	cook @@book
grimalkins	grimalkin @@s
epistaxis	epistaxis
Camilli	Camilli
slangify	slang @@ify
airsteppings	airstepping @@s
intrabulbar	intra @@bulb @@ar
impassionating	impassion @@ate @@ing
glamor	glamor
exoglossic	exo @@gloss @@ic
ittier	itty @@er
unalarming	un @@alarm @@ing
deicidal	deicide @@al
cyberhygiene	cyber @@hygiene
kohens	kohen @@s
noodlehead	noodle @@head
pycnosomes	pycno @@some @@s
gory	gore @@y
wardrive	wardrive
musical	muse @@ic @@al
scopeloids	scopeloid @@s
pyorrhoeal	pyo @@rrhoea @@al
contemplationist	contemplate @@ion @@ist
superficiality	superfice @@ial @@ity
PMed	PM @@ed
unspoken	un @@speak @@en
santilmos	santilmo @@s
leerier	leery @@er
voguing	vogue @@ing
sensitizes	sensitive @@ize @@s
chainplate	chain @@plate
Sumerians	Sumer @@ian @@s
extensivenesses	extense @@ive @@ness @@s
Ulibarri	Ulibarri
moveset	move @@set
endosmometer	endosmometer
ichthyoarchaeological	ichthyoarchaeo @@logy @@ical
quats	quat @@s
brestsummers	brest @@sum @@er @@s
prelinguistic	pre @@linguist @@ic
kibitkas	kibitka @@s
gormlessness	gorm @@less @@ness
talooks	talook @@s
napkins	nape @@kin @@s
hyperglutamatergia	hyper @@glutamic @@atergia
zizzes	zizz @@s
supraciliaries	supra @@cilium @@ary @@s
myokinase	myo @@kinase
shaiks	shaik @@s
bioconcentrated	bio @@concentrate @@ed
Gejiu	Gejiu
antisocieties	anti @@society @@s
outmarriage	out @@marry @@age
biogeologist	bio @@geology @@ist
violet	violet
gastrodynia	gastro @@dynia
prorevival	pro @@revive @@al
nonguest	non @@guest
immunoisolates	immuno @@isolate @@s
uneared	un @@ear @@ed
cyclophosphates	cyclo @@phosphate @@s
radiationist	radiate @@ion @@ist
sway	sway
wordles	word @@le @@s
denominationist	de @@nominate @@ion @@ist
nonpopulated	non @@populate @@ed
fatherships	father @@ship @@s
sarkars	sarkar @@s
murderhoboed	murder @@hobo @@ed
shails	shail @@s
odoursome	odour @@some
dicesium	dicesium
wakeboarders	wakeboard @@er @@s
ecohydrogeomorphic	eco @@hydro @@geomorphic
embryotoxicity	embryo @@toxic @@ity
gilden	gold @@en
modelers	model @@er @@s
sweetroot	sweet @@root
shmegeggies	shmegeggy @@s
remobilisation	re @@mobile @@ise @@ation
Mora	Mora
off-licence	off @@licence
jamo	jamo
clunked	clunk @@ed
agrarianizes	agrarian @@ize @@s
octoroons	octoroon @@s
shadowgrams	shadow @@gram @@s
kilted	kilt @@ed
doomes	doome @@s
divos	divo @@s
ungarments	un @@garment @@s
fluorohydride	fluoro @@hydride
museumize	museum @@ize
cushiony	cushion @@y
deghettoizing	de @@ghetto @@ize @@ing
immatchable	in @@match @@able
quickscope	quick @@scope
defishing	de @@fish @@ing
schorlomites	schorlomite @@s
phylogenetics	phylo @@gene @@ic @@s
lakers	lake @@er @@s
fanwriters	fan @@writer @@s
nocake	nocake
thermometres	thermo @@metre @@s
Yen	Yen
purselanes	purselane @@s
ferrimolybdite	ferri @@molybdenum @@ite
Kvens	Kven @@s
engined	engine @@ed
militated	militate @@ed
overliming	over @@lime @@ing
greenlights	greenlight @@s
bindup	bindup
greenewoods	greene @@wood @@s
ria	ria
narrowish	narrow @@ish
browline	brow @@line
plebe	plebe
repressurised	re @@pressurise @@ed
parasitically	parasite @@ic @@ally
moisturise	moist @@ure @@ise
outfoxer	out @@fox @@er
noncivilian	non @@civil @@ian
tellest	tell @@est
antdom	ant @@dom
mishopes	mis @@hope @@s
titbits	titbit @@s
disenjoying	dis @@en @@joy @@ing
reticulate	reticulate
japow	japow
subacetates	sub @@acetate @@s
salorthids	salorthid @@s
matchweeks	match @@week @@s
hoising	hoise @@ing
outpointed	out @@point @@ed
spaghettilike	spaghetti @@like
wheedling	wheed @@ling
vulpicides	vulpicide @@s
misknot	mis @@knot
cardmaker	card @@make @@er
Calcutta	Calcutta
colourisers	colouriser @@s
dows	dow @@s
bowsies	bowsy @@s
outfoxes	out @@fox @@s
teleorganic	teleorgan @@ic
discocytic	discocyte @@ic
bettor	bettor
impeach	impeach
scours	scour @@s
frameset	frame @@set
exoterrene	exo @@terrene
folkmotes	folkmote @@s
coynesses	coy @@ness @@s
statites	statite @@s
intracomponent	intra @@component
quicksorts	quick @@sort @@s
screels	screel @@s
padwals	padwal @@s
sponsorette	sponsor @@ette
mesiobuccal	mesio @@bucca @@al
overpromoting	over @@promote @@ing
obtainment	obtain @@ment
ribosylating	ribose @@yl @@ate @@ing
musicography	muse @@ic @@graphy
throwboards	throw @@board @@s
biopelagic	bio @@pelagic
lonicerosides	loniceroside @@s
webified	Web @@ify @@ed
barfly	bar @@fly
unarchivers	un @@archiver @@s
aerothermodynamics	aerothermo @@dynamic @@ics
bioanthropology	bio @@anthropo @@logy
penetrantly	penetrant @@ly
gaybies	gayby @@s
twattier	twat @@y @@er
protonymphons	proto @@onymphon @@s
estromimetic	estro @@mimesis @@ic
clinical	clinic @@al
reprices	re @@price @@s
anionizing	an @@ion @@ize @@ing
retrovisceral	retro @@viscera @@al
appealled	appeall @@ed
Bodic	Bodic
maladministering	mal @@administer @@ing
zymologic	zyme @@logy @@ic
noneuro	noneuro
pawks	pawk @@s
interrogatable	interrogate @@able
integuments	integument @@s
pseudoatheism	pseudo @@atheism
lyonsiids	lyonsiid @@s
tubeteikas	tubeteika @@s
sheepfold	sheep @@fold
centrosaurines	centrosaurine @@s
nonoptimality	non @@optimal @@ity
bilateralness	bi @@lateral @@ness
saxifies	sax @@ify @@s
Bessarabians	Bessarabi @@an @@s
dewaterability	de @@water @@ability
homopolypeptides	homopolypeptide @@s
reongs	reong @@s
divellicating	divellicate @@ing
red-tapeism	rede @@tape @@ism
chipyards	chip @@yard @@s
excursively	excursive @@ly
Redflower	Redflower
coassessor	co @@assess @@or
nondirectional	non @@direct @@ion @@al
swylbolles	swylbolle @@s
eigensamples	eigen @@sample @@s
gorgonzola	gorgonzola
misspliced	mis @@splice @@ed
skyjacking	sky @@jack @@ing
despuming	despume @@ing
anthropobiomes	anthropo @@bio @@ome @@s
Yokota	Yokota
dumkas	dumka @@s
Catholicly	Catholic @@ly
apparelment	apparel @@ment
tormina	tormina
Farahans	Farahan @@s
distinguishedly	distinguish @@ed @@ly
classrooms	class @@room @@s
physiolatry	physi @@o @@latry
derestricts	de @@restrict @@s
disorganizations	disorganization @@s
Seshat	Seshat
rostellar	rostella @@ar
allelewise	allele @@wise
divinators	divinate @@or @@s
forsay	for @@say
pancytokeratins	pancytokeratin @@s
overwrite	over @@write
bailies	bailie @@s
crevices	crevice @@s
collectors	collect @@or @@s
histomolecular	histo @@molecule @@ar
trochophore	trocho @@phore
nitroproteins	nitro @@protein @@s
sapphiric	sapphir @@ic
crossbitten	cross @@bit @@en
semivoluntary	semi @@voluntary
preglottalized	pre @@glottal @@ize @@ed
vhosts	vhost @@s
longipennate	longipennate
subconcuss	sub @@concuss
suaviloquy	suaviloquy
Clarkie	Clark @@ie
microcircuitries	micro @@circuit @@ry @@s
discompted	dis @@compt @@ed
dieter	diet @@er
paleoichthyology	paleo @@ichthyo @@logy
Kpelles	Kpelles
curtail	Curtail
superacids	super @@acid @@s
cyberpragmatic	cyber @@pragmatic
unspiteful	un @@spite @@ful
skillas	skilla @@s
mellowed	mellow @@ed
Quebecistan	Quebecistan
timestamping	time @@stamp @@ing
grindcore	grind @@core
wagonettes	wagon @@ette @@s
laemophloeids	laemophloeid @@s
Su-ch'ien	Su @@ch'ien
exarates	exarate @@s
SBs	SB @@s
foofs	foof @@s
Hyrum	Hyrum
withdrives	with @@drive @@s
sphagnum	sphagnum
twinkleth	twinkle @@eth
zonalizations	zone @@al @@ization @@s
skearing	skear @@ing
semibarbarism	semi @@barbarism
pseudoradicular	pseudo @@radicular
aspen	asp @@en
hunchers	hunch @@er @@s
itchily	itch @@y @@ly
lauriids	lauriid @@s
microcrack	micro @@crack
bogeying	bogey @@ing
testiere	testiere
plowtail	plow @@tail
syphons	syphon @@s
deplorableness	deplore @@able @@ness
naphthalines	naphtha @@ene @@s
forbiddest	for @@bid @@est
nonresponsible	non @@response @@ible
loopingly	loop @@ing @@ly
phenyldiethanolamines	phenyldiethanolamine @@s
Elsatian	Elsatian
valver	valve @@er
triester	tri @@ester
ngrams	ngram @@s
matronyms	matronym @@s
immunoendocrine	immuno @@endocrine
xenoceltitids	xenoceltitid @@s
dispersalism	disperse @@al @@ism
cyclotherapy	cyclo @@therapy
acquittal	a @@quit @@al
tegmentums	tegmentum @@s
aqueductal	aqueduct @@al
productional	produce @@t @@ion @@al
lighthouse	light @@house
testimonialized	testimony @@al @@ize @@ed
chica	chica
txapelas	txapela @@s
de-Maoization	de @@Maoi @@ization
nonspinal	non @@spine @@al
beselved	be @@selve @@ed
croconic	croconic
ductoscopy	ducto @@scopy
binbag	bin @@bag
antbirds	ant @@bird @@s
obfuscatorily	obfuscate @@ory @@ly
microrespirometers	micro @@respire @@o @@meter @@s
non-obvious	non @@obvious
oppressingly	oppress @@ing @@ly
reclinable	recline @@able
fleetsides	fleet @@side @@s
jellabiyas	jellabiya @@s
blameshifts	blame @@shift @@s
unlist	un @@list
exculpates	exculpate @@s
burglarizers	burglar @@ize @@er @@s
pledgors	pledge @@or @@s
clout	clout
fanaticism	fanatic @@ism
jouks	jouk @@s
sandungas	sandunga @@s
instantise	instantise
interconstruct	inter @@construct
superrotating	super @@rotate @@ing
Tomaszewski	Tomaszewski
unbluffed	un @@bluff @@ed
pathoadapted	patho @@adapt @@ed
syndepositional	syn @@depose @@ition @@al
mantrams	man @@tram @@s
henges	henge @@s
Garifunas	Garifuna @@s
workglove	work @@glove
datable	date @@able
subinfeudate	sub @@infeudate
syllabicness	syllabic @@ness
panpestivirus	pan @@pestivirus
bediapered	be @@diaper @@ed
haunched	haunch @@ed
outplacements	out @@place @@ment @@s
objicients	objicient @@s
lenslike	lens @@like
dealcoholizes	de @@alcohol @@ize @@s
kalafungin	kalafungin
stoushes	stoush @@s
nonconductivity	non @@conduct @@ive @@ity
anatta	anatta
megaseism	mega @@seism
antiquitarians	antique @@ity @@arian @@s
unclawed	un @@claw @@ed
chipboards	chip @@board @@s
columbiferous	columb @@iferous
visuographic	visuo @@graphy @@ic
